Origin,Origin_Pop,Destination,Destination_Pop,Travel_Time
RETHY,205135,BAMBO,156395,29890.0
RIMBA,216446,BAMBO,156395,29477.0
RUTSHURU,293634,BAMBO,156395,3345.0
RWAMPARA,137286,BAMBO,156395,25588.0
RWANGUBA,268948,BAMBO,156395,3882.0
TCHOMIA,113035,BAMBO,156395,57268.0
VUHOVI,125530,BAMBO,156395,11287.0
WALIKALE,162523,BAMBO,156395,21633.0
ADI,165627,BAMBU-MINES,152322,23041.0
ADJA,129346,BAMBU-MINES,152322,16781.0
ALIMBONGO,227787,BAMBU-MINES,152322,20672.0
ANGUMU,168048,BAMBU-MINES,152322,11988.0
ARIWARA,206104,BAMBU-MINES,152322,18244.0
ARU,185456,BAMBU-MINES,152322,14962.0
AUNGBA,161978,BAMBU-MINES,152322,10686.0
BAMBO,156395,BAMBU-MINES,152322,24267.0
BENI,395029,BAMBU-MINES,152322,10885.0
BIENA,122726,BAMBU-MINES,152322,17398.0
BINZA,190494,BAMBU-MINES,152322,25726.0
BIRAMBIZO,398438,BAMBU-MINES,152322,25702.0
BIRINGI,125472,BAMBU-MINES,152322,10685.0
BOGA,69412,BAMBU-MINES,152322,10486.0
BUNIA,274563,BAMBU-MINES,152322,1826.0
BUTEMBO,326616,BAMBU-MINES,152322,13198.0
DAMAS,119532,BAMBU-MINES,152322,4559.0
DRODRO,158491,BAMBU-MINES,152322,5114.0
FATAKI,131340,BAMBU-MINES,152322,4666.0
GETHY,191018,BAMBU-MINES,152322,6446.0
GOMA,260035,BAMBU-MINES,152322,26173.0
ITEBERO,183913,BAMBU-MINES,152322,41816.0
JIBA,140335,BAMBU-MINES,152322,6678.0
KALUNGUTA,206145,BAMBU-MINES,152322,11424.0
KAMANGO,109141,BAMBU-MINES,152322,12441.0
KAMBALA,126742,BAMBU-MINES,152322,6379.0
KARISIMBI,518302,BAMBU-MINES,152322,25748.0
KATWA,424920,BAMBU-MINES,152322,13218.0
KAYNA,362851,BAMBU-MINES,152322,21988.0
KIBIRIZI,331604,BAMBU-MINES,152322,20886.0
KIBUA,104917,BAMBU-MINES,152322,36428.0
KILO,57244,BAMBU-MINES,152322,1250.0
KIROTSHE,452929,BAMBU-MINES,152322,28556.0
KITOYI,22000,BAMBU-MINES,152322,32133.0
KOMANDA,189251,BAMBU-MINES,152322,6855.0
KYONDO,222254,BAMBU-MINES,152322,16056.0
LAYBO,145111,BAMBU-MINES,152322,19744.0
LINGA,151032,BAMBU-MINES,152322,7632.0
LITA,131251,BAMBU-MINES,152322,5221.0
LOGO,246325,BAMBU-MINES,152322,7127.0
LOLWA,46878,BAMBU-MINES,152322,9554.0
LUBERO,274996,BAMBU-MINES,152322,16944.0
MABALAKO,192291,BAMBU-MINES,152322,22165.0
MAHAGI,178740,BAMBU-MINES,152322,13451.0
MAMBASA,98208,BAMBU-MINES,152322,11970.0
MANDIMA,141513,BAMBU-MINES,152322,20316.0
MANGALA,94886,BAMBU-MINES,152322,9781.0
MANGUREDJIPA,74827,BAMBU-MINES,152322,23473.0
MASEREKA,183527,BAMBU-MINES,152322,15667.0
MASISI,423301,BAMBU-MINES,152322,32998.0
MONGBWALU,136572,BAMBU-MINES,152322,3067.0
MUSIENENE,257600,BAMBU-MINES,152322,16929.0
MUTWANGA,256179,BAMBU-MINES,152322,14584.0
MWESO,404625,BAMBU-MINES,152322,27584.0
NIA-NIA,73073,BAMBU-MINES,152322,22028.0
NIZI,145051,BAMBU-MINES,152322,1712.0
NYANKUNDE,100299,BAMBU-MINES,152322,4249.0
NYARAMBE,238825,BAMBU-MINES,152322,23854.0
NYIRAGONGO,635148,BAMBU-MINES,152322,24961.0
OICHA,347253,BAMBU-MINES,152322,9398.0
PINGA,156081,BAMBU-MINES,152322,26530.0
RETHY,205135,BAMBU-MINES,152322,7286.0
RIMBA,216446,BAMBU-MINES,152322,6873.0
RUTSHURU,293634,BAMBU-MINES,152322,22802.0
RWAMPARA,137286,BAMBU-MINES,152322,4533.0
RWANGUBA,268948,BAMBU-MINES,152322,23339.0
TCHOMIA,113035,BAMBU-MINES,152322,46239.0
VUHOVI,125530,BAMBU-MINES,152322,12980.0
WALIKALE,162523,BAMBU-MINES,152322,41005.0
ADI,165627,BENI,395029,33489.0
ADJA,129346,BENI,395029,27666.0
ALIMBONGO,227787,BENI,395029,9906.0
ANGUMU,168048,BENI,395029,21209.0
ARIWARA,206104,BENI,395029,28843.0
ARU,185456,BENI,395029,24183.0
AUNGBA,161978,BENI,395029,21421.0
BAMBO,156395,BENI,395029,13501.0
BAMBU-MINES,152322,BENI,395029,10885.0
BIENA,122726,BENI,395029,6633.0
BINZA,190494,BENI,395029,14961.0
BIRAMBIZO,398438,BENI,395029,14937.0
BIRINGI,125472,BENI,395029,21570.0
BOGA,69412,BENI,395029,7133.0
